layer_z,score_percent,primary_cause,machine_x_mm,machine_y_mm,raw_image_x_px,raw_image_y_px
tensor(218),97.97022938728333,조사(B),0.880443976414586,6.791992159023818,1292.96875,1298.828125
tensor(218),95.62157392501831,조사(B),-0.4524900836276896,9.271694518998332,1310.546875,1339.84375
tensor(218),95.64297199249268,조사(B),-4.365304942667873,12.076595870771765,1363.28125,1386.71875
tensor(218),90.52264094352722,조사(B),-4.452747190003442,15.332829658530587,1363.28125,1439.453125
tensor(222),91.13143682479858,조사(B),3.617994226695483,-2.7083562224857833,1257.8125,1140.625
tensor(222),95.50663232803345,조사(B),-0.8017080327929985,6.044715979123204,1316.40625,1287.109375
tensor(222),96.8595564365387,조사(B),1.683361243460623,8.954248343296983,1281.25,1333.984375
tensor(222),96.85853719711304,조사(B),2.101040468420726,9.3208094328084,1275.390625,1339.84375
tensor(224),97.43334650993347,조사(B),0.03925176002392539,6.418302443358541,1304.6875,1292.96875
tensor(224),90.05982279777527,조사(B),-4.861898800482026,14.59984187717895,1369.140625,1427.734375
tensor(226),95.26942372322083,도포(A),3.9763465526827586,0.46594202941977764,1251.953125,1193.359375
tensor(226),93.91012191772461,조사(B),0.872484758711953,7.149059245386399,1292.96875,1304.6875
tensor(226),95.8192765712738,조사(B),0.8246225271668,9.29625865658212,1292.96875,1339.84375
tensor(226),90.91327786445618,조사(B),-2.7471021634431896,15.72641917734786,1339.84375,1445.3125
tensor(228),95.46807408332825,도포(A),6.985795300940633,-2.98542100938473,1210.9375,1134.765625
tensor(228),93.45910549163818,도포(A),1.2972151699445098,7.157422963998023,1287.109375,1304.6875
tensor(229),90.74751734733582,조사(B),-1.6424354983517269,5.671232723530733,1328.125,1281.25
tensor(229),93.33377480506897,조사(B),1.729555461860543,6.808777347504586,1281.25,1298.828125
tensor(230),95.73220014572144,조사(B),3.9763465526827586,0.46594202941977764,1251.953125,1193.359375
tensor(230),91.12915396690369,조사(B),4.309334407019677,5.078354295198189,1246.09375,1269.53125
tensor(230),93.89065504074097,조사(B),1.3050381287620603,6.800385512543508,1287.109375,1298.828125
tensor(230),96.07999324798584,도포(A),-0.3937996046928706,6.766802982989918,1310.546875,1298.828125
tensor(230),91.48170351982117,조사(B),1.683361243460623,8.954248343296983,1281.25,1333.984375
tensor(232),91.53031706809998,도포(A),8.233744700019576,-2.2570832071603837,1193.359375,1146.484375
tensor(232),93.24849843978882,도포(A),0.880443976414586,6.791992159023818,1292.96875,1298.828125
tensor(233),90.75628519058228,도포(A),2.7767776324713567,-2.726698903545013,1269.53125,1140.625
tensor(233),95.85843682289124,도포(A),8.233744700019576,-2.2570832071603837,1193.359375,1146.484375
tensor(233),91.47064089775085,조사(B),0.880443976414586,6.791992159023818,1292.96875,1298.828125
tensor(234),92.59976148605347,도포(A),7.428782879710719,-4.37539132535577,1205.078125,1111.328125
tensor(234),92.88967251777649,조사(B),3.6320227713299267,-3.409330263069092,1257.8125,1128.90625
tensor(234),98.1145977973938,도포(A),4.826174909306429,0.1312428892600373,1240.234375,1187.5
tensor(234),98.7330436706543,조사(B),1.3907622981990109,2.887960597917311,1287.109375,1234.375
