candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,2,mean5,25,5216,1.0,0.9767790262172285,-0.033935812236900696,-0.01572880114699406,0.01572880114699406
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,3,original,26,5338,1.0,0.999625468164794,-0.07210035765442892,-0.07634552185630439,0.07634552185630439
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,3,mean3,27,5338,1.0,0.999625468164794,-0.08417293520650641,-0.08819837131553715,0.08819837131553715
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,3,mean5,28,5338,1.0,0.999625468164794,-0.10211584048294577,-0.10309907817799825,0.10309907817799825
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,1,original,29,3734,1.0,0.699250936329588,-0.1131369790621092,-0.06446065145468372,0.06446065145468372
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,1,mean3,30,3734,1.0,0.699250936329588,-0.12292921624898391,-0.07444008953017017,0.07444008953017017
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,1,mean5,31,3734,1.0,0.699250936329588,-0.14065952091471529,-0.09457269508196224,0.09457269508196224
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,2,original,32,5282,1.0,0.9891385767790262,-0.1383819762064073,-0.1697077379186771,0.1697077379186771
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,2,mean3,33,5282,1.0,0.9891385767790262,-0.14566806070048416,-0.17809839516263123,0.17809839516263123
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,2,mean5,34,5282,1.0,0.9891385767790262,-0.1550286694023973,-0.18950998940653146,0.18950998940653146
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,3,original,35,4662,1.0,0.8730337078651685,0.007524409714454878,-0.01220054530621063,0.01220054530621063
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,B,3,mean3,36,4662,1.0,0.8730337078651685,0.003348578024395022,-0.015388179305308025,0.015388179305308025
