part,layer_z,finite_xct5,in_fov,unique_pixels,in_fov_fraction,collision_fraction
part03,15,0,0,0,nan,nan
part03,16,0,0,0,nan,nan
part03,17,0,0,0,nan,nan
part03,18,0,0,0,nan,nan
part03,19,0,0,0,nan,nan
part03,20,0,0,0,nan,nan
part03,21,6362,6362,6266,1.0,0.015089594467148748
part03,22,6303,6303,6253,1.0,0.007932730445819436
part03,23,6362,6362,6257,1.0,0.016504243948443853
part03,24,6303,6303,6249,1.0,0.008567348881485026
part03,25,6362,6362,6266,1.0,0.015089594467148748
part03,26,6308,6308,6245,1.0,0.00998731769181993
part03,27,6212,6212,6089,1.0,0.01980038634900194
part03,28,6043,6043,5980,1.0,0.010425285454244593
part03,29,6079,6079,5922,1.0,0.025826616219773002
part03,30,5928,5928,5842,1.0,0.014507422402159298
part03,31,5950,5950,5813,1.0,0.023025210084033576
part03,32,5818,5818,5753,1.0,0.011172224132004138
part03,33,5887,5887,5725,1.0,0.027518260574146414
part03,34,5744,5744,5672,1.0,0.012534818941504211
part03,35,5759,5759,5637,1.0,0.02118423337384967
part03,36,5670,5670,5596,1.0,0.013051146384479684
part03,37,5695,5695,5572,1.0,0.02159789288849867
part03,38,5600,5600,5537,1.0,0.011249999999999982
part03,39,5635,5635,5511,1.0,0.02200532386867793
part03,40,5562,5562,5472,1.0,0.016181229773462813
part03,41,5632,5632,5466,1.0,0.029474431818181768
part03,42,5521,5521,5430,1.0,0.016482521282376372
part03,43,5567,5567,5413,1.0,0.027663014190767
part03,44,5448,5448,5373,1.0,0.013766519823788514
part03,45,5503,5503,5374,1.0,0.02344175904052337
part03,46,5410,5410,5319,1.0,0.01682070240295752
part03,47,5440,5440,5324,1.0,0.02132352941176474
part03,48,5372,5372,5289,1.0,0.015450483991064745
part03,49,5439,5439,5283,1.0,0.02868174296745729
part03,50,5340,5340,5251,1.0,0.01666666666666672
part03,51,3781,3781,3652,1.0,0.034117958212113164
part03,52,3684,3684,3602,1.0,0.0222584147665581
part03,53,3808,3808,3621,1.0,0.049107142857142905
part03,54,3678,3678,3600,1.0,0.021207177814029365
part03,55,3745,3745,3612,1.0,0.03551401869158877
part03,56,3640,3640,3563,1.0,0.02115384615384619
part03,57,3776,3776,3591,1.0,0.048993644067796605
part03,58,3678,3678,3587,1.0,0.024741707449700945
part03,59,3712,3712,3585,1.0,0.034213362068965525
part03,60,3605,3605,3537,1.0,0.018862690707350915
part03,61,3743,3743,3569,1.0,0.046486775313919315
part03,62,3647,3647,3563,1.0,0.02303262955854124
part03,63,3684,3684,3556,1.0,0.034744842562432154
part03,64,3646,3646,3527,1.0,0.03263850795392209
part03,65,3713,3713,3545,1.0,0.04524643145704277
part03,66,3606,3606,3528,1.0,0.021630615640598982
part03,67,3710,3710,3537,1.0,0.04663072776280319
part03,68,3604,3604,3514,1.0,0.024972253052164217
part03,69,3680,3680,3528,1.0,0.04130434782608694
part03,70,3643,3643,3524,1.0,0.03266538567115018
part03,71,3681,3681,3526,1.0,0.04210812279271936
part03,72,3606,3606,3497,1.0,0.0302273987798114
part03,73,3711,3711,3518,1.0,0.05200754513608197
part03,74,3572,3572,3506,1.0,0.018477043673012283
part03,75,3653,3653,3522,1.0,0.03586093621680808
part03,76,3610,3610,3491,1.0,0.032963988919667564
part03,77,3679,3679,3513,1.0,0.04512095678173411
part03,78,3607,3607,3499,1.0,0.029941779872470153
part03,79,3681,3681,3512,1.0,0.04591143710948109
part03,80,3570,3570,3471,1.0,0.027731092436974802
part03,81,3646,3646,3496,1.0,0.0411409764125068
part03,82,3568,3568,3504,1.0,0.017937219730941756
