image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,predicted_x_px,predicted_y_px,predicted_in_sensor,assigned_in_v3,assigned_source_candidate_index,assigned_raw_x_px,assigned_raw_y_px,nearest_fresh_detector_candidate_distance_px,fresh_detector_candidate_within_v3_assignment_bound,local_mean_darkness_0_to_1
13,4,1468.2557841293192,994.7264942462924,True,True,1340,1468.593552056165,995.5180271554034,2.8655047401245604,True,0.7529411764705882
14,4,1468.2201182269162,1010.952637140782,True,False,,,,14.065705183476805,False,0.7563025210084033
15,4,1468.1844473417343,1027.1810469422392,True,False,,,,12.378114670164724,False,0.7533413365346138
16,4,1468.1487714727293,1043.4117241257516,True,False,,,,14.633436673582038,False,0.7572629051620648
17,4,1468.1130906188566,1059.644669166539,True,True,1608,1468.160399723333,1059.397689387207,1.9859273383360727,True,0.7635854341736694
18,4,1468.077404779071,1075.8798825399551,True,False,,,,14.161162316117592,False,0.7655062024809924
19,4,1468.0417139523279,1092.117364721486,True,True,1187,1468.0468106509657,1091.5222651485249,2.359746029187861,True,0.765906362545018
20,4,1468.0060181375818,1108.3571161867505,True,False,,,,12.082476396181521,False,0.7654261704681873
21,4,1467.9703173337866,1124.5991374115006,True,True,1515,1467.9467101945038,1123.5811441029377,2.774352359039621,True,0.7727891156462585
22,4,1467.9346115398962,1140.8434288716205,True,False,,,,18.866592441941624,False,0.7723889555822329
23,4,1467.898900754865,1157.0899910431292,True,False,,,,29.06362863591122,False,0.7739895958383354
24,4,1467.863184977646,1173.338824402177,True,False,,,,34.370378551109866,False,0.7727090836334534
25,4,1467.827464207192,1189.5899294250485,True,False,,,,28.928033683490835,False,0.7785514205682273
26,4,1467.791738442456,1205.8433065881604,True,False,,,,31.94685179845756,False,0.777671068427371
27,4,1467.7560076823909,1222.0989563680641,True,False,,,,35.90900279147274,False,0.7773509403761505
28,4,1467.7202719259487,1238.3568792414426,True,False,,,,19.656321751095224,False,0.7762304921968788
29,4,1467.6845311720808,1254.6170756851136,True,True,1313,1467.6571345502089,1256.272890008664,3.4514866138810296,True,0.780952380952381
30,4,1467.6487854197396,1270.8795461760276,True,False,,,,12.895876558857626,False,0.7767907162865146
31,4,1467.6130346678763,1287.1442911912684,True,False,,,,12.932274213506137,False,0.7773509403761505
32,4,1467.5772789154414,1303.4113112080536,True,False,,,,14.805349379198107,False,0.7739095638255302
33,4,1467.5415181613862,1319.6806067037337,True,False,,,,15.631514514515795,False,0.7779911964785914
34,4,1467.5057524046613,1335.9521781557935,True,False,,,,14.05692299407613,False,0.7736694677871149
35,4,1467.4699816442162,1352.2260260418511,True,True,1606,1467.473413470045,1351.671342603032,2.275098829699397,True,0.7743097238895558
36,4,1467.4342058790012,1368.5021508396585,True,False,,,,14.508885321187552,False,0.7743897559023609
37,4,1467.398425107966,1384.7805530271007,True,True,1321,1467.3451275125256,1384.491412501738,1.8794311461299384,True,0.7779911964785914
38,4,1467.3626393300597,1401.0612330821968,True,True,1458,1467.2833887078716,1402.4040177473769,2.9610569533327706,True,0.7773509403761505
39,4,1467.326848544231,1417.3441914830998,True,True,1574,1467.1331893815686,1418.3712098642445,2.675845445705968,True,0.7740696278511404
40,4,1467.2910527494294,1433.6294287080966,True,False,,,,13.63253603010234,False,0.7799119647859144
41,4,1467.2552519446026,1449.9169452356082,True,False,,,,18.33770810056753,False,0.78031212484994
42,4,1467.219446128699,1466.206741544189,True,True,1026,1466.9292578677248,1467.3021232936821,3.0478421320269,True,0.7808723489395758
43,4,1467.183635300666,1482.4988181125273,True,False,,,,13.550611903529557,False,0.7787114845938375
44,4,1467.147819459452,1498.7931754194458,True,False,,,,19.463222534903814,False,0.7819927971188475
