left,right,axis,sign_left_to_right,distance_px,axis_alignment_cosine
65,230,0,1,17.598458851723578,0.9999929503621287
66,462,1,-1,14.7628892865099,0.9925976188996672
66,199,0,-1,16.39551808316523,0.9999908959907595
67,107,1,-1,14.809513859342713,0.9944693770804407
67,192,1,1,15.455479922094483,0.9999998808284962
67,195,0,-1,16.89517722033877,0.9999999180213166
67,110,0,1,17.09971303697277,0.9999994673989717
68,1069,0,-1,14.969260202765861,0.9970337538481168
68,996,1,-1,15.67822490651366,0.9998243335077315
68,468,1,1,15.837140074667069,0.9997616547224017
68,394,0,1,16.360408700870625,0.9993347592848892
69,908,1,1,14.957277387641735,0.9993917681886629
69,987,1,-1,15.738067532385388,0.999890705831359
69,441,0,-1,16.332871064366298,0.9999940134358545
69,744,0,1,19.297565748600807,0.9983723802455479
70,262,0,-1,16.399552534676562,0.9999760782317382
70,179,1,-1,17.101685184450062,0.9999996390566811
71,527,1,1,14.67462726670452,0.9999632888860241
71,309,1,-1,14.819399136247045,0.9997669698619369
71,622,0,1,16.328369628856613,0.9999914991297346
71,427,0,-1,16.336267955131483,0.9999842384423369
72,946,1,-1,15.45829154793962,0.9998956882802806
72,993,1,1,16.22810455578335,0.9879126627812068
72,782,0,-1,16.585096362507045,0.9999269522667343
72,1137,0,1,17.936666286435532,0.9992978517333713
73,753,1,1,14.526790390990488,0.9964096342161838
73,449,1,-1,15.76991619350767,0.999822413269989
73,189,0,1,16.49569889749078,0.9985438100433232
73,426,0,-1,17.35230255926979,0.9982312224845682
74,965,1,-1,14.537620398533187,0.999895924408924
74,343,1,1,16.029694766998638,0.9999292512792645
74,532,0,1,16.241155651760284,0.9999918530588285
74,429,0,-1,17.533669446583403,0.9998442994100296
75,842,1,-1,14.276949798570502,0.9997680614728315
75,351,1,1,15.46391717868299,0.9984029744346431
75,517,0,-1,16.898399523909326,0.9984235112201532
75,95,0,1,17.21602123809058,0.9999715211993865
76,141,1,1,14.642368029741682,0.9987533366398009
76,265,0,-1,14.864575530117623,0.9999921336596796
76,621,0,1,17.421061138459844,0.999987684365689
77,481,1,1,14.614865193992125,0.9991509307109452
77,526,0,1,16.414904355982408,0.9997499982168795
77,278,0,-1,16.518955663947253,0.9999964544939582
77,141,1,-1,16.683816294416264,0.998596519412947
78,825,1,1,14.745660685600791,0.9999292499914547
78,426,1,-1,15.461563219039924,0.9987311232810765
78,801,0,-1,15.61026906896375,0.9987993356020779
78,753,0,1,16.870496044639438,0.9999927361894145
79,98,0,1,16.05862519952691,0.9999702867612065
79,244,1,-1,16.540840177820247,0.9998396781564209
79,570,0,-1,18.031124230667004,0.9999998997331845
80,657,1,-1,14.953254906867711,0.9919266613526618
80,88,0,1,14.978766104455701,0.9972989627710538
80,86,0,-1,18.11305569674596,0.9999813868817001
81,212,1,-1,14.362596596961788,0.9999770762706001
81,635,1,1,15.800498065118903,0.9859017783140875
81,561,0,1,16.260193561046066,0.9999960992676666
81,789,0,-1,17.495491306365196,0.9999831096477239
82,688,1,-1,16.8376388723955,0.9994890126224394
83,300,1,-1,15.76206019905975,0.9997158400077513
83,818,1,1,15.816939666996454,0.9996167833297976
83,698,0,1,16.449973258431964,0.9999629103156419
83,122,0,-1,16.502981156986095,0.9984422208155238
84,204,1,-1,15.969204298686645,0.999998368859318
84,237,0,-1,16.536701383433645,0.997406435769565
84,158,0,1,17.658742405779083,0.9999540514168156
85,436,1,1,15.361132854300362,0.9999939956006157
85,368,1,-1,15.68331591724709,0.9871142879763404
85,671,0,1,17.428085698569834,0.9997127026116834
86,354,1,-1,14.26677498571279,0.9972283149376692
86,96,1,1,16.81810875694352,0.9999991768013198
86,231,0,-1,17.56215864987902,0.9999900729561301
87,649,1,1,14.547103284695456,0.9999823917468552
87,381,1,-1,15.610545679724023,0.9999775464750984
87,943,0,-1,15.802478723485105,0.9981746980381905
87,968,0,1,17.401679453856044,0.9979505414354405
88,412,1,1,15.838015873342226,0.9955807158960768
88,615,1,-1,15.934135000929226,0.9999729823076484
88,277,0,1,17.207124697890634,0.9999547264039952
89,493,1,-1,14.273771976617757,0.9988766604247109
89,440,1,1,16.71781222132007,0.9997439690541796
89,524,0,-1,16.91002813599467,0.9999905025827256
89,577,0,1,17.135203298457274,0.9923010630012138
90,626,1,-1,16.199052938797614,0.9990740597670321
90,221,0,-1,16.473455571918524,0.9959647863310245
90,262,0,1,16.650806706424497,0.99994973153398
91,459,1,-1,13.76460489279279,0.9998301903884578
91,285,0,1,16.069289238928533,0.9978493752332034
91,393,0,-1,18.005718329245788,0.998094211360144
92,247,1,1,14.515265959061468,0.9999999989561146
92,663,1,-1,15.56401922141661,0.9955309174945282
92,607,0,1,16.4061390011084,0.9994857192007964
92,363,0,-1,16.872255912931344,0.9981264148579353
93,150,1,-1,15.546070240831739,0.9999880889281556
93,136,0,-1,16.125350950801582,0.9974404783106725
94,539,1,1,13.581496775356932,0.9998737657361952
94,235,0,1,16.545694333378183,0.9983186379119513
94,437,0,-1,17.535029665755445,0.9974142348554516
95,610,1,-1,13.446366998174602,0.9998051085473312
95,370,1,1,15.644786245978064,0.9936242109615868
95,591,0,1,16.299962554960114,0.9999808506819533
97,388,1,-1,15.655534206242013,0.9982882409543639
97,190,0,-1,16.045008153205664,0.9999978615594117
97,484,0,1,16.492262045979587,0.9993111202457577
97,197,1,1,16.542788348586747,0.9996846772976767
98,552,1,-1,16.501195354182453,0.9970440361868448
98,475,0,1,18.055910995386956,0.9999985163178184
99,139,1,1,14.429110069365263,0.9943201843678605
99,1135,1,-1,14.52672441205539,0.9999975520980585
99,1025,0,1,16.01472652941542,0.9979241047216579
99,592,0,-1,17.573868556018297,0.9999998299381946
100,1255,1,1,14.83920208557418,0.9908814077760572
100,848,1,-1,15.979467651149804,0.9995588165505364
100,719,0,-1,16.898638723054283,0.9998626964656153
100,1076,0,1,17.736399415808673,0.9996993317873741
101,282,1,-1,16.612811816824966,0.9912860416714016
101,184,0,-1,18.4622104840535,0.9995558717788392
102,344,0,1,14.878646814117724,0.9999839200447574
102,445,1,-1,15.559496913286933,0.9999699703462109
102,259,1,1,16.017866370431612,0.9951467706250136
102,557,0,-1,17.711279876863422,0.9999109057777493
103,847,1,-1,14.533314863566215,0.996557327409703
103,134,1,1,15.411062087370745,0.9999959569170681
103,223,0,-1,16.327235829842458,0.9999990198644941
103,1045,0,1,19.402188405110376,0.9999434670400258
104,119,1,-1,15.788131437962399,0.995082650191923
104,447,0,1,19.04391185195851,0.9982759643772293
105,178,1,-1,15.29595411183958,0.9855991009200894
105,745,1,1,15.508555803887223,0.9999102495556135
105,167,0,-1,16.512052377821156,0.9995689763356225
105,398,0,1,18.394160479093703,0.9980817406275942
106,317,1,1,15.015622360647214,0.9986378517433262
106,744,1,-1,16.30289455111698,0.9897393542887862
106,908,0,-1,16.41535566008368,0.999985998068544
106,642,0,1,17.33597050313793,0.9999783817704089
107,134,1,-1,15.985021027909337,0.9956351015973989
107,432,0,1,16.047356910151862,0.9999997271376472
107,832,0,-1,17.8723281307342,0.9999994607746734
110,432,1,-1,14.76568263136136,0.9994194958670485
110,159,1,1,15.068893160273806,0.9999852727829279
110,296,0,1,16.941955928644116,0.9999816637722977
111,1349,1,-1,14.484445994387602,0.9998422715101173
111,214,1,1,15.03087707129576,0.9962784979588506
111,392,0,1,16.307266767537556,0.9982065299006113
111,461,0,-1,16.326100607744866,0.9999998843144421
112,357,1,1,15.029650453645592,0.9999997989937346
112,742,1,-1,16.4572854441402,0.9934791102050824
112,513,0,1,16.99059941010146,0.9996936482313772
112,446,0,-1,17.01699922015541,0.9999966167687157
113,366,1,1,15.62678726447584,0.9999837257106642
113,750,1,-1,15.64564751168353,0.9999999266331695
113,328,0,-1,16.766610720405186,0.9996997404690511
113,491,0,1,16.999407014293304,0.9996893077506427
114,237,0,1,14.842174172850212,0.9971878336490811
114,267,1,-1,15.736095771016958,0.9999593782109286
114,230,0,-1,19.24120882053741,0.999991673202063
115,167,1,1,14.799085656372833,0.9944219881599037
115,708,1,-1,15.631558320313053,0.9966435916935047
115,178,0,1,17.530984229921167,0.9999743309425256
115,330,0,-1,18.42487493856386,0.9995531341085853
116,688,0,1,17.487837641859635,0.9999947772587832
117,574,1,-1,14.186939728868877,0.9968812072205947
117,674,1,1,15.203288306363039,0.9916934335985762
117,491,0,-1,16.39285122280324,0.999983489570692
117,641,0,1,19.39616022329264,0.9999141795802884
118,311,0,1,17.94091276500259,0.9979103034382881
119,208,1,-1,14.90589800639246,0.99561279334534
119,722,0,1,17.04482916290961,0.9960871378842703
120,336,1,1,14.600293241743449,0.9999610972440579
120,122,1,-1,15.758190149742072,0.9975660337196142
120,137,0,-1,16.062200677174864,0.9983248528387096
120,818,0,1,17.16806241977241,0.9982617035261849
121,378,1,-1,15.178279401050473,0.9967624584708203
121,145,0,1,18.192297107932745,0.9967840076587224
122,315,1,-1,14.550931495146969,0.9984873448890742
122,729,0,-1,17.875813813082182,0.9996432096850367
123,682,1,1,15.085887046049967,0.9988086576290532
123,861,1,-1,15.477805400250968,0.9999977929454242
123,779,0,-1,16.411666504164522,0.9999280890267384
123,572,0,1,17.60065468809961,0.9999972941688609
124,1102,1,1,14.705518664430999,0.9999378663282863
124,153,1,-1,14.758182122822296,0.9949897449377599
124,1115,0,1,17.20533288628517,0.9999358738338824
125,557,1,-1,14.162137431532184,0.998255163297534
125,267,1,1,16.532301430809092,0.9910510860853154
125,259,0,1,17.041886720410606,0.9957675150834503
125,421,0,-1,17.410039963953032,0.9994637673356079
126,428,1,-1,15.10950309115851,0.9999988114652728
126,127,1,1,16.23592263036055,0.9939480134718354
126,752,0,1,16.439829458469088,0.9957286397914434
126,270,0,-1,17.721972567321007,0.9962526165738542
127,235,1,1,15.347776273098996,0.9999902417454755
127,538,0,1,17.54536188427475,0.9996234289121652
128,181,1,-1,14.881344438044076,0.9927129334466352
128,509,1,1,15.714965365015066,0.9973108988071513
128,430,0,-1,15.936877882468663,0.9985875507381073
128,330,0,1,15.959895745870716,0.9997127583283765
129,495,1,1,15.159724433668112,0.9999336078052836
129,308,1,-1,15.323653094891766,0.9843956637002054
129,551,0,-1,18.524319498764598,0.9986098269730103
130,321,1,1,15.536717875827364,0.9999859236981872
130,628,1,-1,15.8133712369711,0.9999805926213348
130,907,0,-1,16.788072086489965,0.9999903370319854
130,740,0,1,17.172820287321795,0.9999996562533778
131,657,1,1,15.664481391396658,0.9992975529047704
131,549,1,-1,15.69873787841526,0.9999959495769837
131,821,0,1,16.947770485515772,0.9994231851154843
131,632,0,-1,17.173623537015143,0.9992364106051688
132,710,1,-1,14.78009556911682,0.9954683970113788
132,856,1,1,15.262510248804983,0.9972564060603736
132,863,0,1,16.165200823521552,0.9999260592632186
132,1348,0,-1,18.07321897081196,0.997698276306417
133,203,1,-1,16.045664555601313,0.998487059456712
133,205,0,-1,17.418646986991565,0.9999985859014936
133,248,0,1,18.02222796277525,0.9999905207786515
134,667,0,-1,16.378906231680638,0.9997789474665749
134,151,0,1,19.15100172836828,0.9989985085790061
135,391,1,-1,14.819296177173097,0.9934184396633382
135,437,1,1,15.503446140460262,0.9971354984666243
135,522,0,-1,17.31540619818215,0.9999187513826298
136,253,1,-1,13.744986407530975,0.9999080450407687
136,285,0,-1,18.024281267023152,0.9981832050487154
137,729,1,-1,16.18839118814358,0.9989677648668776
137,530,0,-1,17.83221767828595,0.9985480363510211
138,702,1,1,15.243463891113553,0.9999998586103026
138,283,1,-1,15.259513185707824,0.9904247792312596
138,163,0,-1,16.941716617018265,0.9995767529981124
138,611,0,1,18.136673823451762,0.9998510702971457
139,517,1,1,15.585042934113636,0.9997836635846326
139,505,0,-1,15.940435979687635,0.9979354954943772
139,842,0,1,16.244098800719375,0.9997550244702839
140,484,1,1,15.022603643946097,0.9999656956614192
140,730,1,-1,15.173438111527574,0.9998986192279338
140,388,0,-1,15.736966753952073,0.9969968461258697
140,1177,0,1,17.922734283201496,0.9978925067452573
141,274,0,-1,15.778990743364167,0.9979104783582419
141,487,0,1,16.15894754816015,0.9993382055858844
142,381,1,1,14.424403050381757,0.9999991484056604
142,619,1,-1,14.587753847541478,0.9953810634407664
142,831,0,-1,16.88125140322476,0.9997913758277895
142,1175,0,1,18.78567086983287,0.9999999857102734
143,488,1,-1,14.319222874155965,0.9998863531133972
143,696,1,1,15.371006102841582,0.9975418383319479
143,1212,0,-1,15.86732305863813,0.9983951181166505
143,461,0,1,17.239924949794187,0.9999969911458491
144,569,1,-1,16.02051749993068,0.9992470895039518
144,420,0,-1,17.558439433092804,0.9997871952357549
144,202,0,1,18.949247641198458,0.9999944458870216
145,509,1,-1,14.681751667715744,0.9996736477114098
145,180,1,1,17.143781103631774,0.9936598946131843
146,802,1,1,14.350384642058307,0.9997379659068546
146,1118,1,-1,15.329734293850777,0.9969905440141936
146,498,0,1,15.675275117648717,0.9999641766594274
146,414,0,-1,16.249649938278086,0.9999928869893058
147,315,0,1,14.998731191834255,0.9999118382929283
147,864,1,-1,15.125590195316652,0.9993538056099227
147,729,1,1,15.346073300449563,0.9908432227199426
147,800,0,-1,17.661847607309834,0.9985638111927806
148,703,1,-1,15.337306053812629,0.9968174223582728
148,392,1,1,15.369907276838815,0.999925318579429
148,1349,0,-1,16.20885669565365,0.9999847133146179
148,323,0,1,18.175411804149935,0.999607156658302
149,702,1,-1,15.630284571567449,0.9947338927982545
149,858,0,-1,16.08394597989665,0.9999999598735261
149,310,0,1,16.834911371967536,0.9999334314292815
150,253,0,-1,15.986744452794246,0.9991751983107559
151,1045,1,-1,14.351227494113568,0.9997619934227684
151,963,0,1,15.428384419169486,0.9989474429493211
151,432,1,1,16.835768970465544,0.9955159172009285
152,330,1,-1,15.246969512315086,0.9996211622557426
152,167,0,1,16.436086398247884,0.999998739244546
152,509,0,-1,17.526728057237662,0.999996090752524
153,1484,1,-1,14.145452668357153,0.993344501265221
153,1036,0,1,16.009506470317255,0.9999727230565193
154,356,1,-1,15.726362177840851,0.9999991783332736
154,211,0,-1,17.024477237692135,0.9997330906167292
154,476,0,1,17.542610472467338,0.9984601517386926
155,704,1,-1,15.781564247366234,0.9999780524769154
155,462,0,-1,15.992998901733511,0.9980668771819228
155,378,0,1,17.425303689058534,0.9980604035753633
156,530,1,1,14.783788656321489,0.9973292159855752
156,729,0,1,15.9980173079094,0.9995742479128564
156,800,1,-1,16.6240504293403,0.9996705139600456
156,157,0,-1,17.23905669926417,0.9989309949656718
157,232,1,1,14.330598728626644,0.9996054257751448
157,295,1,-1,15.222183044547185,0.999868648616021
157,679,0,-1,17.498308712126594,0.9999999938199149
158,420,0,1,16.61419257144293,0.9997733503417815
158,793,1,-1,16.90072994024294,0.9995998181126671
159,827,1,1,15.74207585183934,0.9999942511003002
159,588,0,1,16.97162406441352,0.9993515328862896
159,192,0,-1,17.01438225928553,0.9997645956851489
160,239,0,1,14.67191091357499,0.9997361666412
160,288,1,-1,15.812735467734976,0.9995740149714728
160,215,1,1,16.46072104437112,0.9922346453589768
161,1051,1,1,14.936284525633727,0.9902172826896463
161,220,0,1,14.940999258228773,0.9991625120433111
161,164,1,-1,15.625722939800342,0.9957685898468462
161,896,0,-1,17.44264845410315,0.9999901556528001
163,186,1,-1,14.645991040798716,0.9963063281081155
163,239,1,1,15.17608405244647,0.9989547234534072
163,288,0,-1,15.85374051527119,0.9980767256769508
164,182,0,-1,14.937284559626418,0.9970456755213817
164,324,1,-1,16.423565268472526,0.9917240365986835
164,240,0,1,18.94455636930576,0.9999981599660737
165,179,0,1,16.28686590021299,0.9999834502681022
165,262,1,1,16.895022206513307,0.9999717050060083
165,626,0,-1,17.48245555084015,0.9995165737221703
166,211,1,-1,15.753337182566073,0.9999998002942063
166,316,0,-1,16.52542183994182,0.9977236654848435
167,459,1,1,16.784637644829697,0.9997809315562396
168,696,1,-1,14.603213811138195,0.9999231936263008
168,516,1,1,15.138340538033443,0.9845659941280364
168,685,0,1,15.759924733368157,0.99981502834284
168,443,0,-1,18.619790908457777,0.9999999922047936
169,450,1,-1,15.077454008237076,0.999060428877363
169,927,0,-1,15.921169339158814,0.9997231745362497
169,518,1,1,16.22963554352348,0.9994301903671953
169,560,0,1,16.99440631840114,0.9999910121777934
170,277,1,-1,15.98486502775672,0.999741311406678
170,412,0,-1,16.082643427718015,0.9999953639131132
170,176,0,1,19.192764111607474,0.9999999985943765
171,526,1,-1,14.536058220523591,0.9995703229384202
171,599,1,1,16.238143746173396,0.9991657987579319
171,896,0,1,17.44422058522674,0.9968271401187555
171,481,0,-1,17.44454569641567,0.9996823313234514
172,348,1,1,15.572195038829674,0.99608960045389
172,592,0,1,16.254343093787174,0.9982211789887221
173,325,1,-1,14.635100123954198,0.9985801610594697
