candidate_rank,dx_px,dy_px,median_abs_spearman,comparison_count
2,-4,-12,0.2794463722745838,96
2,-4,-10,0.31841399119184277,96
2,-4,-8,0.433988232321216,96
2,-4,-6,0.49301466613021605,96
2,-4,-4,0.4457519574182843,96
2,-4,-2,0.3046364776622441,96
2,-4,0,0.2489931580024891,96
2,-4,2,0.23830348210901425,96
2,-4,4,0.23303760101584592,96
2,-4,6,0.21274871779766566,96
2,-4,8,0.21796294771867633,96
2,-4,10,0.22859247677265687,96
2,-4,12,0.19538179437451975,96
2,-2,-12,0.2714638954591028,96
2,-2,-10,0.3022247639429468,96
2,-2,-8,0.4611814201414437,96
2,-2,-6,0.5382442795717465,96
2,-2,-4,0.47128690932455597,96
2,-2,-2,0.3481438660858094,96
2,-2,0,0.2635163534054923,96
2,-2,2,0.2677242371087535,96
2,-2,4,0.23547834610969448,96
2,-2,6,0.21718953748250963,96
2,-2,8,0.2269780642584569,96
2,-2,10,0.2275820879529356,96
2,-2,12,0.20981655397447846,96
2,0,-12,0.2973901789891615,96
2,0,-10,0.30428075584555203,96
2,0,-8,0.474405839442225,96
2,0,-6,0.5428241232493631,96
2,0,-4,0.47047478885783256,96
2,0,-2,0.3232900815154603,96
2,0,0,0.29135690984825535,96
2,0,2,0.2766980678148224,96
2,0,4,0.23389825324942187,96
2,0,6,0.22141452928335403,96
2,0,8,0.2221673700512054,96
2,0,10,0.2270271421495278,96
2,0,12,0.228882233759665,96
2,2,-12,0.2624497171156633,96
2,2,-10,0.30990761531014044,96
2,2,-8,0.42641211014650093,96
2,2,-6,0.48610936448248754,96
2,2,-4,0.42985056457393367,96
2,2,-2,0.32943386352472065,96
2,2,0,0.2297493995768781,96
2,2,2,0.2369390751638495,96
2,2,4,0.19933843738566032,96
2,2,6,0.22218177210631337,96
2,2,8,0.2181143375852507,96
2,2,10,0.21976041775952293,96
2,2,12,0.22562044731986425,96
2,4,-12,0.22441695278415255,96
2,4,-10,0.3039728688336936,96
2,4,-8,0.3759461737686136,96
2,4,-6,0.4635237620764572,96
2,4,-4,0.3909924664433358,96
2,4,-2,0.2912291606196216,96
2,4,0,0.21377902263732912,96
2,4,2,0.21642376834242627,96
2,4,4,0.18463406596137344,96
2,4,6,0.19412280940623988,96
2,4,8,0.19191393570868698,96
2,4,10,0.21886594859477068,96
2,4,12,0.2347256284724949,96
2,6,-12,0.23401203398544854,96
2,6,-10,0.2743143469175291,96
2,6,-8,0.35588550380737005,96
2,6,-6,0.385710844185959,96
2,6,-4,0.36387422554776855,96
2,6,-2,0.28703443199939715,96
2,6,0,0.22480971208658898,96
2,6,2,0.1982994098137379,96
2,6,4,0.1569508055441539,96
2,6,6,0.1694779976993645,96
2,6,8,0.19587771396806025,96
2,6,10,0.20621381469983,96
2,6,12,0.24277523163027298,96
2,8,-12,0.21930244839644897,96
2,8,-10,0.2450079660367317,96
2,8,-8,0.32256505327668916,96
2,8,-6,0.36969527110898925,96
2,8,-4,0.33703134835082504,96
2,8,-2,0.2800463712921775,96
2,8,0,0.20384252580740186,96
2,8,2,0.1755322488128776,96
2,8,4,0.15987267045534798,96
2,8,6,0.16506430974178843,96
2,8,8,0.2021627645248096,96
2,8,10,0.20057179257391605,96
2,8,12,0.24836041278505647,96
2,10,-12,0.21350653717744492,96
2,10,-10,0.2272262468875424,96
2,10,-8,0.2812196780971099,96
2,10,-6,0.32489160350878177,96
2,10,-4,0.31886289216472824,96
2,10,-2,0.2351279314254715,96
2,10,0,0.16244786269433856,96
2,10,2,0.1548077915811843,96
2,10,4,0.17479430202447607,96
2,10,6,0.16882243352105802,96
2,10,8,0.1784051559835422,96
2,10,10,0.21114708054381273,96
2,10,12,0.24643752295066618,96
2,12,-12,0.1905811220458299,96
2,12,-10,0.23743252473802806,96
2,12,-8,0.29837792636661775,96
2,12,-6,0.298587709955143,96
2,12,-4,0.3027205628432033,96
2,12,-2,0.20398697522406564,96
2,12,0,0.1517912807758395,96
2,12,2,0.13565814995413167,96
2,12,4,0.17365581364229454,96
2,12,6,0.1903048367182527,96
2,12,8,0.18119368949058132,96
2,12,10,0.20626835573253932,96
2,12,12,0.2324300717848382,96
