source_candidate_index,image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,raw_x_px,raw_y_px,detector_response,projective_cell_residual_px,correspondence_source,full_refined_fit_inlier,full_refined_fit_residual_px,heldout_block,train_only_prediction_x_px,train_only_prediction_y_px,train_only_residual_px
1327,41,24,1174.555270366741,1455.7556581870904,0.15293827652931213,1.3846135524692793,projective_2d_nearest_cell_reassignment,True,1.3846135524692793,False,1175.2609498483898,1454.5400633291251,1.4055797343201841
417,42,24,1174.5431853595885,1472.6761466897765,0.1737152636051178,1.4881074520703885,projective_2d_nearest_cell_reassignment,True,1.4881074520703885,False,1175.2029330219611,1471.3148582591546,1.512736979567587
739,43,24,1175.649021868906,1487.512555189152,0.1658470630645752,0.7880658763834256,projective_2d_nearest_cell_reassignment,True,0.7880658763834256,False,1175.144908199653,1488.0919650917026,0.7680146005783223
1007,44,24,1174.582462025941,1504.9648862801102,0.160437673330307,0.5179784372640802,projective_2d_nearest_cell_reassignment,True,0.5179784372640802,False,1175.0868753798115,1504.8713843047415,0.5130062874477109
1075,45,24,1175.2160592842654,1520.7792369398294,0.15871649980545044,0.9304817702259158,projective_2d_nearest_cell_reassignment,True,0.9304817702259158,False,1175.0288345607833,1521.6531163763757,0.8937104490277854
1352,46,24,1175.0332879410116,1540.210606264622,0.1522006392478943,1.731951842393708,projective_2d_nearest_cell_reassignment,True,1.731951842393708,False,1174.9707857409144,1538.437161784841,1.7745455327723532
1072,47,24,1175.2014642267243,1554.6590035798072,0.15883943438529968,0.6698668851938779,projective_2d_nearest_cell_reassignment,True,0.6698668851938779,False,1174.9127289185506,1555.223521008506,0.6340725553837205
386,48,24,1175.476171842385,1571.4588532248215,0.1743299812078476,0.8568520448736271,projective_2d_nearest_cell_reassignment,True,0.8568520448736271,False,1174.8546640920365,1572.0121945258704,0.8321409010436202
681,49,24,1175.0844725069737,1587.8220130420868,0.16744528710842133,1.0683454148722558,projective_2d_nearest_cell_reassignment,True,1.0683454148722558,False,1174.796591259717,1588.8031828155665,1.0225310444736084
11,0,25,1162.3744799401459,767.3962936619077,0.1983034312725067,0.662054377068102,projective_2d_nearest_cell_reassignment,True,0.662054377068102,True,1162.6215396471682,767.9787585035391,0.6326956539842832
527,1,25,1163.2957156537793,785.4014093189087,0.17088761925697327,1.0019061895115893,projective_2d_nearest_cell_reassignment,True,1.0019061895115893,True,1162.5627306524511,784.6838752349747,1.025730068672575
1103,2,25,1163.30008117506,801.1862216062012,0.15822474658489227,0.8216396440445265,projective_2d_nearest_cell_reassignment,True,0.8216396440445265,True,1162.503913563518,801.3912911866852,0.8221535127387164
52,3,25,1162.3816478909864,818.8339740413581,0.1906810998916626,0.7135200810181763,projective_2d_nearest_cell_reassignment,True,0.7135200810181763,True,1162.4450883786965,818.1010068333848,0.7357075665270784
463,4,25,1162.1566171063798,833.7268287313443,0.17248587310314178,1.1325289165532937,projective_2d_nearest_cell_reassignment,True,1.1325289165532937,True,1162.3862550963158,834.8130226499196,1.1102030603325796
449,5,25,1162.443337869453,851.1763278392398,0.17285467684268951,0.3861451200201423,projective_2d_nearest_cell_reassignment,True,0.3861451200201423,False,1162.3274137147037,851.5273391112655,0.3696583865455766
723,6,25,1162.5272060370316,868.0317324313187,0.16633883118629456,0.3406901047109521,projective_2d_nearest_cell_reassignment,True,0.3406901047109521,False,1162.2685642321871,868.2439566925298,0.3345664661316318
771,7,25,1163.0904908319942,885.3087321787705,0.16535529494285583,0.933132891191535,projective_2d_nearest_cell_reassignment,True,0.933132891191535,False,1162.2097066470935,884.96287586895,0.9462543883194132
984,8,25,1161.9930845943718,901.2383715577572,0.16092944145202637,0.4898652107059902,projective_2d_nearest_cell_reassignment,True,0.4898652107059902,False,1162.1508409577493,901.6840971158953,0.472819567449987
279,9,25,1161.9775509318542,917.5834222479172,0.1776493787765503,0.8471964507210502,projective_2d_nearest_cell_reassignment,True,0.8471964507210502,False,1162.0919671624804,918.4076209088648,0.8321024615626567
