part,layer_z,csv_path,rows_total,rows_schema_40,rows_bad_schema,command_x_min_mm,command_x_max_mm,command_y_min_mm,command_y_max_mm,xct_original_finite_count,xct_3x3x3_finite_count,xct_5x5x5_finite_count,xct_original_finite_fraction,xct_3x3x3_finite_fraction,xct_5x5x5_finite_fraction,xct_5x5x5_mean,xct_5x5x5_min,xct_5x5x5_max
part01,80,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0080.csv,3570,3570,0,-6.0,3.0,11.0,16.0,3570,3570,3570,1.0,1.0,1.0,0.5406875602240896,0.34497,0.62625
part01,81,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0081.csv,3646,3646,0,-6.0,3.0,11.0,16.0,3646,3646,3646,1.0,1.0,1.0,0.5404987931980252,0.34308,0.62864
part01,82,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0082.csv,3568,3568,0,-6.0,3.0,11.0,16.0,3568,3568,3568,1.0,1.0,1.0,0.5401116619955157,0.34078,0.62897
part01,83,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0083.csv,3648,3648,0,-6.0,3.0,11.0,16.0,3648,3648,3648,1.0,1.0,1.0,0.5403041995614035,0.33862,0.62236
part01,84,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0084.csv,3569,3569,0,-6.0,3.0,11.0,16.0,3569,3569,3569,1.0,1.0,1.0,0.5395601933314653,0.33715,0.62924
part01,85,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0085.csv,3679,3679,0,-6.0,3.0,11.0,16.0,3679,3679,3679,1.0,1.0,1.0,0.5393090160369666,0.33746,0.63154
part01,86,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0086.csv,3610,3610,0,-6.0,3.0,11.0,16.0,3610,3610,3610,1.0,1.0,1.0,0.5390065041551246,0.34189,0.62891
part01,87,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0087.csv,3684,3684,0,-6.0,3.0,11.0,16.0,3684,3684,3684,1.0,1.0,1.0,0.5392437785016287,0.3465,0.62312
part01,88,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0088.csv,3575,3575,0,-6.0,3.0,11.0,16.0,3575,3575,3575,1.0,1.0,1.0,0.5387263636363636,0.348,0.62848
part01,89,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0089.csv,3713,3713,0,-6.0,3.0,11.0,16.0,3713,3713,3713,1.0,1.0,1.0,0.5386743441960679,0.34758,0.6275
part01,90,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0090.csv,3607,3607,0,-6.0,3.0,11.0,16.0,3607,3607,3607,1.0,1.0,1.0,0.5387317299695038,0.34399,0.62238
part01,91,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0091.csv,3649,3649,0,-6.0,3.0,11.0,16.0,3649,3649,3649,1.0,1.0,1.0,0.5389270211016717,0.33787,0.6188
part01,92,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0092.csv,3569,3569,0,-6.0,3.0,11.0,16.0,3569,3569,3569,1.0,1.0,1.0,0.5380682544130009,0.33321,0.62104
part01,93,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0093.csv,3679,3679,0,-6.0,3.0,11.0,16.0,3679,3679,3679,1.0,1.0,1.0,0.5380402065778744,0.33048,0.61985
